iter	Passed	Remaining
928	1492	114
929	1494	112
930	1494	110
931	1495	109
932	1496	107
933	1496	105
934	1497	104
935	1497	102
936	1498	100
937	1498	99
938	1499	97
939	1499	95
940	1500	94
941	1504	92
942	1505	90
943	1507	89
944	1508	87
945	1508	86
946	1509	84
947	1509	82
948	1510	81
949	1510	79
950	1511	77
951	1511	76
952	1512	74
953	1512	72
954	1513	71
955	1513	69
956	1514	68
957	1517	66
958	1518	64
959	1520	63
960	1521	61
961	1521	60
962	1522	58
963	1522	56
964	1523	55
965	1523	53
966	1524	52
967	1525	50
968	1525	48
969	1526	47
970	1526	45
971	1528	44
972	1531	42
973	1532	40
974	1533	39
975	1534	37
976	1538	36
977	1540	34
978	1541	33
979	1542	31
980	1548	29
981	1549	28
982	1551	26
983	1552	25
984	1553	23
985	1553	22
986	1554	20
987	1555	18
988	1555	17
989	1556	15
990	1559	14
991	1560	12
992	1560	11
993	1565	9
994	1566	7
995	1567	6
996	1568	4
997	1569	3
998	1571	1
999	1573	0
